Customer_ID;Customer_Name;Customer_Surname;Gender;Date_Birth;Date_Registered;Country_Code;City;Email;Phone_Prefix;Phone
C155;Marika;Olšáková;F;12.7.1977;17.9.2020;AUT;Markt Hartmannsdorf;;420;722770030
C156;Tereza;Otáhalová;F;6.6.1999;14.4.2020;AUT;Schwoich;;420;712097968
C157;Jaroslav;Štuk;F;30.8.1988;1.3.2020;SVK;B Bystrica;;420;740745910
C158;Helena;Zezulková;F;31.8.1967;13.1.2021;SVK;Šútovce;;420;743966593
C159;Tomáš;Idel;M;10.8.1970;16.8.2020;SVK;Beluj;;420;739610856
C160;Monika;Daňková;M;24.6.1985;7.11.2020;SVK;Belusa;;420;743515088
C161;Jitka;Rajtrová;F;19.8.1990;29.6.2020;SVK;Bojničky 7;;420;722290776
C162;Miluše;Svobodová;M;13.1.1981;19.5.2020;SVK;Bol;;420;721644701
C163;Roman;Jiřinec;M;17.10.1974;15.6.2020;SVK;Bratislava - Podunajské Biskupice;;420;743655876
C164;Petra;Cahová;F;20.2.1965;7.7.2020;SVK;Bratislava  Posta 11;;420;719524444
C165;Jana;Holotová;F;17.2.1983;29.1.2020;SVK;Bratislava - Raca;;420;722646232
C166;Lenka;Růžičková;F;28.8.1965;29.1.2021;SVK;Bulhary;;420;702541771
C167;Monika;Chrástecká;F;22.6.1968;5.6.2020;SVK;Bunetice;;420;719000996
C168;Jana;Válková;F;7.10.1966;29.5.2020;;;;420;726502011
C169;Petra;Klimentová;F;12.7.1970;3.10.2020;;;;420;718067802
C170;Jakub;Říha;M;30.9.1969;18.1.2021;;;;420;722700315
C171;Jan;Malíský;M;12.12.1981;12.1.2021;;;;420;700575555
C172;Petr;Hofbauer;M;26.2.1973;1.3.2020;SVK;Žilina-Solinky;;420;706878538
C173;Hana;Havlová;F;23.1.1999;18.2.2020;SVK;Žilina-Strážov;;420;708827456
C174;Dagmar;Nováková;F;1.2.1993;30.1.2021;;;;420;717199347
C175;Oldřich;Vejřík;M;4.5.1972;26.1.2021;;;;420;702593598
C176;Lenka;Hniková;F;15.3.1965;31.1.2021;;;;420;723147175
C177;Veronika;Konečná;F;2.4.1969;8.3.2020;;;;420;707321564
C178;Lukáš;Škvarda;M;6.10.1977;29.7.2020;;;;420;702474310
C179;Aleš;Poslušný;M;18.12.2000;10.4.2020;;;;420;732890223
C180;Marcela;Špalková;F;23.2.1965;13.12.2020;DEU;Asendorf;;420;728643753
C181;Petr;Potáček;M;13.9.1964;26.4.2020;DEU;Kiel;;420;713114482
C182;Jitka;Maťátková;F;10.9.1996;20.12.2020;DEU;Holdorf;;420;732906985
C183;Adam;Steklý;M;24.4.1989;2.8.2020;DEU;Weitramsdorf;;420;705026892
C184;Lenka;Musilová;F;23.10.1991;19.6.2020;;;711210623;420;
C185;Hana;Hrabovská;F;12.8.1986;28.6.2020;;;;420;727826478
C186;Barbora;Sedláková;F;22.3.1977;20.5.2020;CZE;Slany;;;
C187;Barbora;Sedláková;F;22.3.1977;20.5.2020;CZE;Slaný;;;
C188;Lucie;Chalusová;F;13.5.1983;15.1.2021;;;;420;723885490
C189;Cecílie;Merganičová;F;19.11.1997;6.1.2021;;;712774487;420;
C190;Renata;Kinská;F;30.12.1964;29.2.2020;;;;420;729159356
C191;Miroslava;Kováčová;F;15.4.1960;4.8.2020;CZE;Staré Brno;;420;726337240
C192;Miroslava;Kováčová;F;30.9.1989;26.7.2020;CZE;Srbec;;420;729738645
C193;Kateřina;Černá;F;11.10.2000;31.12.2020;;;;420;741289529
C194;Jiří;Vašek;M;17.7.1966;11.5.2020;;;;420;725694238
C195;Pavel;Němec;M;13.3.1968;23.12.2020;;;;420;737707623
C230;Barbora;Boturová;F;11.2.1982;23.5.2020;;;;420;719047469
C231;Michaela;Dušánková;F;17.5.1980;31.1.2021;;;;420;731773327
C232;Pavel;Lecher;M;1.1.1980;11.7.2020;;;;420;730362337
C233;Anna;Erbenová;F;;;;;;;
