Number_1;Number_2;Date_1;Date_2;Name;Surname;City;Full_Name;Phone
-11,09;7,87;17.04.2020;14.12.2019;Renata;Kinská;Plzeň - Krimice;Renata Kinská;716694173
-12,54;-11,04;02.10.2019;21.03.2020;Miroslava;Kováčová;Podebrady;Miroslava Kováčová;710088074
4,97;12,66;25.01.2020;20.02.2020;Miroslava;Kováčová;Podebrady;Miroslava Kováčová;737589713
5,23;-17,7;10.08.2019;19.11.2019;Kateřina;Černá;;Kateřina Černá;718214331
0,73;-13,96;30.08.2020;12.10.2020;Jiří;Vašek;;Jiří Vašek;707226866
0,85;-0,44;23.05.2020;29.05.2019;Pavel;Němec;Praha - 18;Pavel Němec;711038353
14,66;-15,74;08.04.2019;25.02.2019;Barbora;Boturová;Praha  19;Barbora Boturová;
17,88;17,64;02.04.2020;28.03.2019;Michaela;Dušánková;Praha  2;Michaela Dušánková;716311484
17,49;16,17;16.12.2020;22.03.2020;Pavel;Lecher;Praha - Dolní Počerniice;Pavel Lecher;743574619
-12,37;-18,67;12.12.2019;29.04.2020;Anna;Erbenová;Praha - Dubeč;Anna Erbenová;713480710
-12,59;-0,99;05.12.2020;09.10.2019;Michaela;Makaturová;Praha - Řepy;Michaela Makaturová;738850193
16,6;18,37;07.11.2020;17.02.2019;Světlana;Jindříšková;Praha - Satalice;Světlana Jindříšková;722590780
11,1;13,21;21.12.2020;14.12.2020;Petr;Vychop;Praha - Skalka;Petr Vychop;
15,51;5,36;31.07.2020;25.09.2020;Gabriela;Hampejsková;Praha - Slivenec;Gabriela Hampejsková;724643497
-3,14;13,49;10.06.2019;23.05.2019;František;Sedláček;Praha - Smíchov;František Sedláček;716282392
9,68;-14,76;16.08.2020;28.06.2020;Zuzana;Zachardová;Pribram;Zuzana Zachardová;700343782
4,36;3,45;05.01.2020;09.09.2019;Iva;Fialová;Pribram VI;Iva Fialová;727803855
19,43;17,85;14.12.2019;07.06.2020;Eva;Martínková;Pribram VII;Eva Martínková;739790538
-6,56;-17,3;11.08.2019;27.04.2020;Dana;Hlaváčová;Přeckov;Dana Hlaváčová;730264763
5,76;5,49;27.09.2019;03.07.2019;Miroslava;Dustová;Přečaply;Miroslava Dustová;718933295
-0,46;-18,12;22.09.2020;13.05.2020;Petr;Jirásek;Radíkov;Petr Jirásek;741035823
18,47;-17,59;29.05.2019;21.07.2019;Kamila;Nedvědová;Radíkov - Olomouc;Kamila Nedvědová;741729631
-19,54;9,32;26.01.2020;08.08.2020;Stanislava;Špillerová;Ŕež;Stanislava Špillerová;731755348
-12,83;16,26;18.07.2019;01.02.2020;Daniel;Krečmer;Réžnov pod Radhoštěm;Daniel Krečmer;709392199
-14,21;17,63;13.11.2020;19.07.2020;Jitka;Šubrtová;Ricany;Jitka Šubrtová;
-7,71;15,1;17.10.2019;07.03.2020;Petra;Čurdová;Roudnice nad Labem;Petra Čurdová;711470523
-9,07;0,63;06.10.2020;13.06.2020;David;Hošťálek;Sedlec-Pričice;David Hošťálek;718632462
6,76;11,73;08.05.2019;20.12.2020;Stanislav;Sedláček;Sedlec-Starý Plzenec;Stanislav Sedláček;705125134
3,17;-18,28;08.10.2019;08.11.2020;Petra;Hlávková;Asten;Petra Hlávková;716080837
-1,64;3,62;29.08.2019;31.07.2019;Pavlína;Kubínová;Rohrendorf;Pavlína Kubínová;731336794
0,96;6,88;24.08.2019;07.09.2020;Anita;Šmahová;Rotenturm;Anita Šmahová;724799353
-0,46;17,85;06.07.2020;18.06.2020;Petr;Dvořák;Neustif;Petr Dvořák;706934184
-13,29;-8,38;07.07.2020;02.08.2019;Bohumíra;Valmová;Pilgersdorf;Bohumíra Valmová;
-17,78;-0,71;12.08.2019;05.04.2019;Marika;Olšáková;Markt Hartmannsdorf;Marika Olšáková;722770030
-10,01;-0,99;28.12.2020;30.04.2020;Tereza;Otáhalová;Schwoich;Tereza Otáhalová;712097968
11,18;2,97;14.03.2019;09.04.2019;Jaroslav;Štuk;B Bystrica;Jaroslav Štuk;740745910
-3,8;-6,13;02.12.2020;19.10.2019;Helena;Zezulková;Šútovce;Helena Zezulková;743966593
12,07;8,27;10.05.2020;24.10.2020;Tomáš;Idel;Beluj;Tomáš Idel;739610856
-9,14;-12,51;21.12.2020;05.12.2020;Monika;Daňková;Belusa;Monika Daňková;743515088
-18,49;-5,41;03.01.2020;21.04.2020;Jitka;Rajtrová;Bojničky 7;Jitka Rajtrová;722290776
-8,33;13,5;11.08.2020;06.11.2020;Miluše;Svobodová;Bol;Miluše Svobodová;721644701
-4,63;-10,58;01.01.2020;18.03.2020;Roman;Jiřinec;Bratislava - Podunajské Biskupice;Roman Jiřinec;
7,65;-4,7;29.06.2020;17.03.2020;Petra;Cahová;Bratislava  Posta 11;Petra Cahová;719524444
-15,08;-14,56;12.06.2019;21.07.2020;Jana;Holotová;Bratislava - Raca;Jana Holotová;722646232
7,15;-11,09;13.08.2020;12.10.2019;Lenka;Růžičková;Bulhary;Lenka Růžičková;702541771
-10,02;12,81;05.07.2019;13.03.2020;Monika;Chrástecká;Bunetice;Monika Chrástecká;719000996
