Action,EntityType,EntityID,ChangedBy,ChangedOn,Details
Create,TrainingRecord,TR-0163,katarina.bielikova@contoso.sk,2026-03-09T14:55,Pridaný záznam školenia 'Excel pre pokročilých' pre zamestnanca Štefan Gajdoš (EMP0023).
Create,Employee,EMP0031,katarina.bielikova@contoso.sk,2026-03-08T12:23,Založený profil zamestnanca Roman Rybár (EMP0031).
Create,Employee,EMP0019,katarina.bielikova@contoso.sk,2026-03-05T11:54,Založený profil zamestnanca Matúš Krajčí (EMP0019).
Create,Employee,EMP0011,katarina.bielikova@contoso.sk,2026-03-01T16:44,Založený profil zamestnanca Monika Šusterová (EMP0011).
Create,TrainingRecord,TR-0065,katarina.bielikova@contoso.sk,2026-03-01T16:42,Pridaný záznam školenia 'Etický kódex a compliance' pre zamestnanca Marek Molnár (EMP0010).
Create,TrainingRecord,TR-0204,katarina.bielikova@contoso.sk,2026-02-24T12:11,Pridaný záznam školenia 'BOZP – vstupné školenie' pre zamestnanca Pavol Fabian (EMP0030).
Create,TrainingRecord,TR-0039,katarina.bielikova@contoso.sk,2026-02-21T09:54,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Milan Urban (EMP0006).
Create,TrainingRecord,TR-0196,katarina.bielikova@contoso.sk,2026-02-19T08:58,Pridaný záznam školenia 'Power BI základy' pre zamestnanca Simona Šusterová (EMP0028).
Create,TrainingRecord,TR-0019,katarina.bielikova@contoso.sk,2026-02-15T16:58,Pridaný záznam školenia 'GDPR a ochrana osobných údajov' pre zamestnanca Martina Kováčová (EMP0003).
Create,TrainingRecord,TR-0234,katarina.bielikova@contoso.sk,2026-02-15T09:03,Pridaný záznam školenia 'Ochrana pred požiarmi' pre zamestnanca Silvia Sedláková (EMP0035).
Create,TrainingRecord,TR-0320,katarina.bielikova@contoso.sk,2026-02-14T07:13,Pridaný záznam školenia 'Anglický jazyk B2 – konverzácie' pre zamestnanca Mária Nováková (EMP0046).
Create,Employee,EMP0017,katarina.bielikova@contoso.sk,2026-01-24T15:31,Založený profil zamestnanca Igor Polák (EMP0017).
Create,Employee,EMP0018,katarina.bielikova@contoso.sk,2026-01-19T11:55,Založený profil zamestnanca Michal Molnár (EMP0018).
Create,Employee,EMP0030,katarina.bielikova@contoso.sk,2026-01-18T11:02,Založený profil zamestnanca Pavol Fabian (EMP0030).
Create,Employee,EMP0022,katarina.bielikova@contoso.sk,2025-12-20T13:30,Založený profil zamestnanca Monika Čierna (EMP0022).
